INDEX,EMPRESA,CATEGORIA,DESCRIPCION,MONTO,FECHA
96,ROCA,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,10745357.98,2019-09-01
97,ROCA,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16903447.88,2019-09-01
98,ROCA,OPERACION,LIMPIEZA,1810504.85,2019-09-01
99,ROCA,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-09-01
100,ROCA,OPERACION,SEGURIDAD,13300461.0,2019-09-01
101,ROCA,OPERACION,SEGUROS,1105532.09,2019-09-01
102,ROCA,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,575706.24,2019-09-01
103,ROCA,PERSONAL,PERSONAL,734584539.95,2019-09-01
104,SAN MARTIN,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
105,SAN MARTIN,INVERSION,MATERIAL RODANTE,59083408.4024,2019-09-01
106,SAN MARTIN,INVERSION,SENALES Y TELECOMUNICACIONES,0.0,2019-09-01
107,SAN MARTIN,INVERSION,VIAS Y OBRAS,15854543.4239,2019-09-01
108,SAN MARTIN,OPERACION,COMBUSTIBLES Y ENERGIA,44347189.93,2019-09-01
109,SAN MARTIN,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6757927.74,2019-09-01
110,SAN MARTIN,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,8808875.85,2019-09-01
111,SAN MARTIN,OPERACION,LIMPIEZA,722095.52,2019-09-01
112,SAN MARTIN,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-09-01
113,SAN MARTIN,OPERACION,SEGURIDAD,2359698.14,2019-09-01
114,SAN MARTIN,OPERACION,SEGUROS,248235.22,2019-09-01
115,SAN MARTIN,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,549353.66,2019-09-01
116,SAN MARTIN,PERSONAL,PERSONAL,330878637.3,2019-09-01
117,SARMIENTO,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
118,SARMIENTO,INVERSION,MATERIAL RODANTE,14113827.7785,2019-09-01
119,SARMIENTO,INVERSION,SENALES Y TELECOMUNICACIONES,52276.0795,2019-09-01
120,SARMIENTO,INVERSION,VIAS Y OBRAS,91334539.0248,2019-09-01
121,SARMIENTO,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6326662.4,2019-09-01
122,SARMIENTO,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,10476801.3,2019-09-01
123,SARMIENTO,OPERACION,LIMPIEZA,7989372.19,2019-09-01
124,SARMIENTO,OPERACION,LOGISTICA DE RECAUDACION,2290287.17,2019-09-01
125,SARMIENTO,OPERACION,SEGURIDAD,9006449.28,2019-09-01
126,SARMIENTO,OPERACION,SEGUROS,588068.57,2019-09-01
127,SARMIENTO,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,909398.0,2019-09-01
128,SARMIENTO,OPERACION,COMBUSTIBLES Y ENERGIA,42384217.78,2019-09-01
129,SARMIENTO,PERSONAL,PERSONAL,393792456.19,2019-09-01
130,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-08-01
131,BELGRANO SUR,INVERSION,MATERIAL RODANTE,7779348.2638,2019-08-01
132,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,771732.9439,2019-08-01
133,BELGRANO SUR,INVERSION,VIAS Y OBRAS,12419573.8296,2019-08-01
134,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,18300082.23,2019-08-01
135,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,5179022.93,2019-08-01
136,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,5185830.92,2019-08-01
137,BELGRANO SUR,OPERACION,LIMPIEZA,1295836.85,2019-08-01
138,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,2859481.91,2019-08-01
139,BELGRANO SUR,OPERACION,SEGURIDAD,18085812.02,2019-08-01
140,BELGRANO SUR,OPERACION,SEGUROS,0.0,2019-08-01
141,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2007954.68,2019-08-01
142,BELGRANO SUR,PERSONAL,PERSONAL,235533446.19,2019-08-01
143,MITRE,INVERSION,MATERIAL RODANTE,7718892.1909,2019-08-01
144,MITRE,INVERSION,SENALES Y TELECOMUNICACIONES,84700.0,2019-08-01
145,MITRE,INVERSION,VIAS Y OBRAS,76081207.7044,2019-08-01
146,MITRE,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-08-01
147,MITRE,OPERACION,COMBUSTIBLES Y ENERGIA,26378774.62,2019-08-01
148,MITRE,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6718585.68,2019-08-01
149,MITRE,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,16702583.61,2019-08-01
150,MITRE,OPERACION,LIMPIEZA,10324332.14,2019-08-01
151,MITRE,OPERACION,LOGISTICA DE RECAUDACION,4684158.74,2019-08-01
152,MITRE,OPERACION,SEGURIDAD,32945060.56,2019-08-01
153,MITRE,OPERACION,SEGUROS,0.0,2019-08-01
154,MITRE,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,3196984.71,2019-08-01
155,MITRE,PERSONAL,PERSONAL,489485415.96,2019-08-01
156,ROCA,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-08-01
157,ROCA,INVERSION,MATERIAL RODANTE,27501810.4856,2019-08-01
158,ROCA,INVERSION,SENALES Y TELECOMUNICACIONES,460589.8954,2019-08-01
159,ROCA,INVERSION,VIAS Y OBRAS,131472545.2179,2019-08-01
160,ROCA,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,24980462.42,2019-08-01
161,ROCA,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,11713476.09,2019-08-01
162,ROCA,OPERACION,LIMPIEZA,1813776.11,2019-08-01
163,ROCA,OPERACION,LOGISTICA DE RECAUDACION,9682942.98,2019-08-01
164,ROCA,OPERACION,SEGURIDAD,16337338.96,2019-08-01
165,ROCA,OPERACION,SEGUROS,0.0,2019-08-01
166,ROCA,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1431888.75,2019-08-01
167,ROCA,OPERACION,COMBUSTIBLES Y ENERGIA,11391772.06,2019-08-01
168,ROCA,PERSONAL,PERSONAL,747110093.87,2019-08-01
169,SAN MARTIN,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-08-01
170,SAN MARTIN,INVERSION,MATERIAL RODANTE,57122748.97,2019-08-01
171,SAN MARTIN,INVERSION,SENALES Y TELECOMUNICACIONES,0.0,2019-08-01
172,SAN MARTIN,INVERSION,VIAS Y OBRAS,56396585.5937,2019-08-01
173,SAN MARTIN,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,6239064.33,2019-08-01
174,SAN MARTIN,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,8381049.51,2019-08-01
175,SAN MARTIN,OPERACION,LIMPIEZA,1392328.57,2019-08-01
176,SAN MARTIN,OPERACION,LOGISTICA DE RECAUDACION,2927482.57,2019-08-01
177,SAN MARTIN,OPERACION,SEGURIDAD,45391759.56,2019-08-01
178,SAN MARTIN,OPERACION,SEGUROS,0.0,2019-08-01
179,SAN MARTIN,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1316150.72,2019-08-01
180,SAN MARTIN,OPERACION,COMBUSTIBLES Y ENERGIA,27643171.34,2019-08-01
181,SAN MARTIN,PERSONAL,PERSONAL,315428873.79,2019-08-01
182,SARMIENTO,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-08-01
183,SARMIENTO,INVERSION,MATERIAL RODANTE,8442561.8511,2019-08-01
184,SARMIENTO,INVERSION,SENALES Y TELECOMUNICACIONES,345947.4,2019-08-01
185,SARMIENTO,INVERSION,VIAS Y OBRAS,98184916.271,2019-08-01
186,SARMIENTO,OPERACION,COMBUSTIBLES Y ENERGIA,42434743.73,2019-08-01
187,SARMIENTO,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,5616120.08,2019-08-01
188,SARMIENTO,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,9066257.7,2019-08-01
189,SARMIENTO,OPERACION,LIMPIEZA,5745944.05,2019-08-01
190,SARMIENTO,OPERACION,LOGISTICA DE RECAUDACION,1255882.69,2019-08-01
191,SARMIENTO,OPERACION,SEGURIDAD,42752729.11,2019-08-01
192,SARMIENTO,OPERACION,SEGUROS,0.0,2019-08-01
193,SARMIENTO,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,2883951.3,2019-08-01
194,SARMIENTO,PERSONAL,PERSONAL,404449822.04,2019-08-01
195,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-07-01
196,BELGRANO SUR,INVERSION,MATERIAL RODANTE,3331862.4656,2019-07-01
197,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,211005.8674,2019-07-01
198,BELGRANO SUR,INVERSION,VIAS Y OBRAS,13455857.4401,2019-07-01
