INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
4751,ROJO GRAL.,4495,GREGORIO DE LAFERRERE,BA,LIBRERIA,-58.59964,-34.755320000000005
4752,ROJAS S.L.,158,SANTA ROSA,LP,ALMACEN/AUTOSERV,-64.27738000000001,-36.60298
4753,ROJAS RUFINO,2595,BAHIA BLANCA,BA,KIOSCO,-62.221740000000004,-38.7269
4754,ROJAS RICARDO (S),149,SAN JUAN,SJ,ALMACEN/AUTOSERV,-68.54063000000001,-31.53612
4755,ROJAS RICARDO,550,BOSQUES,BA,KIOSCO,-58.23333,-34.82532
4756,ROJAS RICARDO,915,BURZACO,BA,AGE. DE LOTE,-58.389790000000005,-34.82437
4757,ROJAS RICARDO,938,BURZACO,BA,KIOSCO,-58.38977,-34.82448
4758,ROJAS RICARDO,5,GRAND BOURG,BA,AGE. DE LOTE,-58.7428,-34.49406
4759,ROJAS RICARDO,1982,GRAND BOURG,BA,KIOSCO,-58.71955,-34.48142
4760,ROJAS RICARDO,1145,LUIS GUILLON,BA,OTROS,-58.47149,-34.78635
4761,ROJAS CAPITAN,3182,BANFIELD,BA,ALMACEN/AUTOSERV,-58.353269999999995,-34.743
4762,ROJAS ACOSTA N.,901,RESISTENCIA,CH,KIOSCO,-58.96781,-27.453440000000004
4763,ROJAS ACOSTA N.,784,RESISTENCIA,CH,KIOSCO,-58.968869999999995,-27.454259999999998
4764,ROJAS A.,18,MONTE GRANDE,BA,AGE. DE LOTE,-58.46855,-34.81649
4765,ROJAS A.,82,MONTE GRANDE,BA,KIOSCO,-58.469269999999995,-34.81684
4766,ROJAS,309,CABALLITO,CF,AGE. DE LOTE,-58.442609999999995,-34.61707
4767,ROJAS,94,CABALLITO,CF,AGE. DE LOTE,-58.441880000000005,-34.6194
4768,ROJAS,400,CABALLITO,CF,KIOSCO,-58.44327,-34.61651
4769,ROJAS,305,CABALLITO,CF,LOCUTORIO,-58.44283000000001,-34.61718
4770,ROJAS,16,CABALLITO,CF,SUPERMERCADO,-58.44165,-34.62025
4771,ROJAS,449,SAN FDO DEL VALLE DE CATAMARCA,CT,ALMACEN/AUTOSERV,-65.78084,-28.46453
4772,ROJAS,475,SAN FDO DEL VALLE DE CATAMARCA,CT,KIOSCO,-65.78049,-28.46459
4773,ROGER BALET,670,CARLOS SPEGAZZINI,BA,ALMACEN/AUTOSERV,-58.59885,-34.918820000000004
4774,ROFFO ANGEL H. DR.,7030,LINIERS,CF,AGE. DE LOTE,-58.52825,-34.6388
4775,ROFFO ANGEL H. DR.,7082,LINIERS,CF,LOCUTORIO,-58.52905,-34.63883
4776,RODRIGUEZ Y OLMOS,0,CAUCETE,SJ,KIOSCO DE DIARIOS,-68.2751,-31.650740000000003
4777,RODRIGUEZ RAMON,51,CARMEN DE PATAGONES,BA,KIOSCO,-62.97534,-40.79289
4778,RODRIGUEZ PENA NICOLAS,1180,FLORENCIO VARELA,BA,ALMACEN/AUTOSERV,-58.279959999999996,-34.78727
4779,RODRIGUEZ PENA AV.,582,RESISTENCIA,CH,COMERCIO,-58.985440000000004,-27.459359999999997
4780,RODRIGUEZ PENA,3301,BARRIO PARQUE GENERAL SAN MARTIN,BA,KIOSCO,-58.5936,-34.586009999999995
4781,RODRIGUEZ PENA,2185,CORRIENTES,CR,KIOSCO,-58.81969,-27.486390000000004
4782,RODRIGUEZ PENA,370,MALVINAS ARGENTINAS,BA,KIOSCO,-58.44408000000001,-34.82926
4783,RODRIGUEZ PENA,3492,MAR DEL PLATA,BA,AGE. DE LOTE,-57.56695,-38.008590000000005
4784,RODRIGUEZ PENA,6644,MAR DEL PLATA,BA,FARMACIA,-57.5987,-37.99262
4785,RODRIGUEZ PENA,997,MARTINEZ,BA,KIOSCO,-58.51269,-34.49414
4786,RODRIGUEZ PENA,582,PRESIDENCIA ROQUE SAENZ PENA,CH,OTROS,-60.437780000000004,-26.778909999999996
4787,RODRIGUEZ PENA,1580,RECOLETA,CF,AGE. DE LOTE,-58.39011,-34.59189
4788,RODRIGUEZ PENA,1350,RECOLETA,CF,AGE. DE LOTE,-58.39199,-34.59356
4789,RODRIGUEZ PENA,1022,RECOLETA,CF,AGE. DE LOTE,-58.39186,-34.59693
4790,RODRIGUEZ PENA,2800,RECOLETA,CF,COMERCIO,-58.38508,-34.58704
4791,RODRIGUEZ PENA,1192,RECOLETA,CF,KIOSCO,-58.39216,-34.59505
4792,RODRIGUEZ PENA,2032,RECOLETA,CF,KIOSCO,-58.3859,-34.5878
4793,RODRIGUEZ PENA,1183,RECOLETA,CF,SUPERMERCADO,-58.3919,-34.59518
4794,RODRIGUEZ PENA,1846,SAN MIGUEL,BA,ALMACEN/AUTOSERV,-58.712590000000006,-34.549820000000004
4795,RODRIGUEZ PENA,1037,SAN MIGUEL,BA,KIOSCO,-58.7064,-34.544270000000004
4796,RODRIGUEZ PENA,807,SAN MIGUEL,BA,KIOSCO,-58.70438000000001,-34.54233
4797,RODRIGUEZ PENA,764,SAN MIGUEL,BA,KIOSCO,-58.70415,-34.54197
4798,RODRIGUEZ PENA,1188,SAN MIGUEL,BA,KIOSCO,-58.70757,-34.54534
4799,RODRIGUEZ PENA,183,SAN NICOLAS,CF,AGE. DE LOTE,-58.39074,-34.60707
4800,RODRIGUEZ PENA,724,SAN NICOLAS,CF,CENTRO DE PAGO,-58.39154,-34.60048
4801,RODRIGUEZ PENA,614,SAN NICOLAS,CF,LIBRERIA,-58.39142,-34.601620000000004
4802,RODRIGUEZ PENA,1524,SANTOS LUGARES,BA,AGE. DE LOTE,-58.543780000000005,-34.59859
4803,RODRIGUEZ PENA,2112,SANTOS LUGARES,BA,KIOSCO,-58.54881999999999,-34.60183
4804,RODRIGUEZ PENA,1307,SANTOS LUGARES,BA,KIOSCO,-58.54213000000001,-34.59728
4805,RODRIGUEZ PENA,1995,SANTOS LUGARES,BA,KIOSCO,-58.54773,-34.60099
4806,RODRIGUEZ PENA,3890,VILLA LYNCH,BA,AGE. DE LOTE,-58.52673000000001,-34.58788
4807,RODRIGUEZ PENA,4517,VILLA LYNCH,BA,AGE. DE LOTE,-58.532469999999996,-34.59137
4808,RODRIGUEZ PENA,4790,VILLA LYNCH,BA,COMERCIO,-58.53504,-34.59301
4809,RODRIGUEZ PENA,2373,VILLA LYNCH,BA,KIOSCO,-58.54858,-34.580709999999996
4810,RODRIGUEZ PENA,2700,VILLA MAIPU,BA,ESTACION DE TREN,-58.516290000000005,-34.58112
4811,RODRIGUEZ OESTE,225,CHIMBAS,SJ,COMERCIO,-68.53397,-31.49268
4812,RODRIGUEZ OESTE,225,CHIMBAS,SJ,KIOSCO,-68.5382,-31.492690000000003
4813,RODRIGUEZ OESTE,0,CHIMBAS,SJ,KIOSCO,-68.53468000000001,-31.49268
4814,RODRIGUEZ MTRA,233,LOMAS DE ZAMORA,BA,ALMACEN/AUTOSERV,-58.426390000000005,-34.75971
4815,RODRIGUEZ MARTIN GRAL.,1202,ADROGUE,BA,KIOSCO,-58.39484,-34.809259999999995
4816,RODRIGUEZ MARTIN GRAL.,2369,BANFIELD,BA,AGE. DE LOTE,-58.44559,-34.741859999999996
4817,RODRIGUEZ MARTIN GRAL.,1395,BANFIELD,BA,KIOSCO,-58.43271,-34.73472
4818,RODRIGUEZ MARTIN GRAL.,499,BANFIELD,BA,KIOSCO,-58.42247,-34.729279999999996
4819,RODRIGUEZ MARTIN GRAL.,1399,BANFIELD,BA,SUPERMERCADO,-58.43385,-34.735209999999995
4820,RODRIGUEZ MARTIN GRAL.,476,BOULOGNE,BA,AGE. DE LOTE,-58.5607,-34.5088
4821,RODRIGUEZ MARTIN GRAL.,3005,ITUZAINGO,BA,KIOSCO,-58.70391,-34.64502
4822,RODRIGUEZ MARTIN GRAL.,4897,VICTORIA,BA,KIOSCO,-58.577380000000005,-34.474740000000004
4823,RODRIGUEZ MARTIN GRAL.,1489,VILLA ADELINA,BA,KIOSCO,-58.550830000000005,-34.51679
4824,RODRIGUEZ MARTIN,540,BOCA,CF,KIOSCO,-58.362080000000006,-34.63297
4825,RODRIGUEZ MARTIN,1295,FORMOSA,FO,KIOSCO,-58.20834,-26.2021
4826,RODRIGUEZ MARTIN,3060,ROSARIO,SF,ALMACEN/AUTOSERV,-60.6654,-32.969229999999996
4827,RODRIGUEZ J. R.,888,PUJATO,SF,COMERCIO,-61.04339,-33.01715
4828,RODRIGUEZ GRAL. BV.,1885,LANUS,BA,AGE. DE LOTE,-58.37388000000001,-34.70493
4829,RODRIGUEZ GRAL. BV.,2361,LANUS,BA,AGE. DE LOTE,-58.445519999999995,-34.741820000000004
4830,RODRIGUEZ GRAL. BV.,1804,LANUS,BA,KIOSCO,-58.37486,-34.70397
4831,RODRIGUEZ GRAL.,125,MONTE GRANDE,BA,KIOSCO,-58.46656,-34.8142
4832,RODRIGUEZ FRAY CAYETANO,281,FLORES,CF,KIOSCO,-58.46349,-34.62664
4833,RODRIGUEZ FRAY CAYETANO,464,FLORES,CF,SUPERMERCADO,-58.46451999999999,-34.62467
4834,RODRIGUEZ FRAY,1001,CORRIENTES,CR,KIOSCO,-58.796119999999995,-27.47843
