INDEX,ID,LINEA,LINEA_2,ESTACION,RAMAL,LONG,LAT,MES,CANTIDAD
55,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-09-01,92464.0
56,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-08-01,101385.0
57,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-08-01,96459.0
58,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-07-01,90692.0
59,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-07-01,88475.0
60,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-06-01,91720.0
61,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-06-01,82897.0
62,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-05-01,93541.0
63,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2017-05-01,26728.0
64,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-05-01,104048.0
65,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-04-01,97956.0
66,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-04-01,86068.0
67,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-03-01,86543.0
68,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-03-01,93234.0
69,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-02-01,78883.0
70,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-02-01,68882.0
71,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-01-01,72817.0
72,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-01-01,75655.0
73,119,MITRE,F.C.G.B.M.,DR. CETRANGOLO, RETIRO - MITRE,-58.49413,-34.5230887,,
74,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-12-01,19344.0
75,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-11-01,19793.0
76,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-11-01,23080.0
77,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-10-01,26392.0
78,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-10-01,21657.0
79,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-09-01,22871.0
80,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-09-01,20851.0
81,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-08-01,24446.0
82,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-08-01,21216.0
83,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-07-01,19474.0
84,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-07-01,18699.0
85,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-06-01,17703.0
86,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-06-01,18861.0
87,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2017-05-01,15855.0
88,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-05-01,22672.0
89,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-05-01,24122.0
90,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-04-01,12370.0
91,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-04-01,21099.0
92,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-03-01,22023.0
93,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-03-01,15866.0
94,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-02-01,18323.0
95,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-02-01,16444.0
96,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2019-01-01,17669.0
97,141,MITRE,F.C.G.B.M.,FLORIDA, RETIRO - MITRE,-58.4944563,-34.5304745,2018-01-01,14349.0
98,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-12-01,18843.0
99,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-11-01,22423.0
100,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-11-01,17768.0
101,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-10-01,20012.0
102,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-10-01,25269.0
103,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-09-01,19998.0
104,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-09-01,22599.0
105,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-08-01,19436.0
106,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-08-01,23648.0
107,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-07-01,21012.0
108,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-07-01,18102.0
109,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-06-01,16828.0
110,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-06-01,20730.0
111,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-05-01,20636.0
112,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2017-05-01,2392.0
113,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-05-01,27343.0
114,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-04-01,22169.0
115,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-04-01,16650.0
116,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-03-01,19136.0
117,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-03-01,18667.0
118,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-02-01,19964.0
119,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-02-01,12517.0
120,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2019-01-01,19046.0
121,200,MITRE,F.C.G.B.M.,JUAN B. JUSTO, RETIRO - MITRE,-58.494657,-34.5425501,2018-01-01,11846.0
122,272,MITRE,F.C.G.B.M.,MINISTRO CARRANZA, RETIRO - MITRE,-58.435404,-34.575705,,
123,273,MITRE,F.C.G.B.M.,MITRE, RETIRO - MITRE,-58.4896092,-34.5154718,2018-12-01,17348.0
124,273,MITRE,F.C.G.B.M.,MITRE, RETIRO - MITRE,-58.4896092,-34.5154718,2018-11-01,66075.0
