INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
2322,MITRE BME. AV.,6283,WILDE,BA,AGE. DE LOTE,-58.317930000000004,-34.703959999999995
2323,MITRE BME. AV.,5731,WILDE,BA,AGE. DE LOTE,-58.3237,-34.69944
2324,MITRE BME. AV.,6076,WILDE,BA,AGE. DE LOTE,-58.32009,-34.70176
2325,MITRE BME. AV.,6272,WILDE,BA,KIOSCO,-58.31726999999999,-34.703179999999996
2326,MITRE BME. AV.,6277,WILDE,BA,KIOSCO,-58.31807,-34.70395
2327,MITRE BME.,2,MERLO,BA,KIOSCO,-58.78491999999999,-34.65055
2328,MITRE BME.,480,MERLO,BA,KIOSCO,-58.71541,-34.67373
2329,MITRE BARTOLOME OESTE,418,SAN JUAN,SJ,KIOSCO,-68.53194,-31.538240000000002
2330,MITRE BARTOLOME ESTE,285,SAN JUAN,SJ,KIOSCO,-68.52013000000001,-31.537470000000003
2331,MITRE BARTOLOME AV.,500,FUNES,SF,KIOSCO,-60.79759,-32.91037
2332,MITRE BARTOLOME AV.,1399,MORENO,BA,COMERCIO,-58.7677,-34.65509
2333,MITRE BARTOLOME AV.,1052,MORENO,BA,KIOSCO,-58.766490000000005,-34.65562
2334,MITRE BARTOLOME AV.,789,PASO DEL REY,BA,AGE. DE LOTE,-58.763419999999996,-34.65631
2335,MITRE BARTOLOME,981,BURZACO,BA,AGE. DE LOTE,-58.393440000000005,-34.82427
2336,MITRE BARTOLOME,5176,CASEROS,BA,AGE. DE LOTE,-58.57085,-34.609790000000004
2337,MITRE BARTOLOME,3506,CASEROS,BA,AGE. DE LOTE,-58.54965,-34.61553
2338,MITRE BARTOLOME,3617,CASEROS,BA,KIOSCO,-58.55025,-34.6149
2339,MITRE BARTOLOME,524,CORONEL BRANDSEN,BA,AGE. DE LOTE,-58.2393,-35.1692
2340,MITRE BARTOLOME,1152,LUJAN,BA,AGE. DE LOTE,-59.10641,-34.56955
2341,MITRE BARTOLOME,792,LUJAN,BA,AGE. DE LOTE,-59.111819999999994,-34.567890000000006
2342,MITRE BARTOLOME,495,NEUQUEN,NQ,COMERCIO,-68.05228000000001,-38.95733
2343,MITRE BARTOLOME,389,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.30725,-41.13366
2344,MITRE BARTOLOME,695,SAN NICOLAS DE LOS ARROYOS,BA,AGE. DE LOTE,-60.22843,-33.340090000000004
2345,MITRE AV.,898,BARRIO CIVICO (MENDOZA),MZ,KIOSCO,-68.81608,-32.88942
2346,MITRE AV.,3094,BERAZATEGUI,BA,AGE. DE LOTE,-58.23818000000001,-34.7394
2347,MITRE AV.,2112,BERAZATEGUI,BA,AGE. DE LOTE,-58.2049,-34.75942
2348,MITRE AV.,4438,EZPELETA ESTE,BA,AGE. DE LOTE,-58.23361,-34.74135
2349,MITRE AV.,698,MENDOZA,MZ,KIOSCO,-68.84594,-32.89415
2350,MITRE AV.,613,QUILMES,BA,AGE. DE LOTE,-58.25441,-34.72095
2351,MITRE AV.,404,QUILMES,BA,AGE. DE LOTE,-58.25659,-34.717659999999995
2352,MITRE (54),3662,GENERAL SAN MARTIN,BA,AGE. DE LOTE,-58.537569999999995,-34.576240000000006
2353,MITRE (54),3815,GENERAL SAN MARTIN,BA,AGE. DE LOTE,-58.53892,-34.577040000000004
