INDEX,LINEA,ESTACION,TOTAL,FECHA
1057,ROCA,HAEDO,2964,2018-05-01
1058,ROCA,EZEIZA,531264,2018-05-01
1059,ROCA,F. VARELA,242691,2018-05-01
1060,ROCA,EZPELETA,170685,2018-05-01
1061,BELGRANO SUR,LAFERRERE,196091,2018-06-01
1062,BELGRANO SUR,QUERANDI,25436,2018-06-01
1063,SARMIENTO,S.A DE PADUA,277494,2018-06-01
1064,BELGRANO SUR,ILLIA,18341,2018-06-01
1065,BELGRANO SUR,MERLO GOMEZ,25117,2018-06-01
1066,BELGRANO SUR,INDEPENDENCIA,118498,2018-06-01
1067,SARMIENTO,VILLA LURO,95746,2018-06-01
1068,ROCA,ARDIGO,123597,2018-06-01
1069,BELGRANO SUR,MENDEVILLE,4501,2018-06-01
1070,BELGRANO SUR,M. BELGRANO,41446,2018-06-01
1071,BELGRANO SUR,J. INGENIEROS,4291,2018-06-01
1072,BELGRANO SUR,KM. 12,2381,2018-06-01
1073,ROCA,LLAVALLOL,91244,2018-06-01
1074,SARMIENTO,RAMOS MEJIA,440780,2018-06-01
1075,BELGRANO SUR,LIBERTAD,25287,2018-06-01
1076,ROCA,ALTAMIRANO,2,2018-06-01
1077,ROCA,SPEGAZZINI,9696,2018-06-01
1078,SARMIENTO,PASO DEL REY,212460,2018-06-01
1079,BELGRANO SUR,TAPIALES,35440,2018-06-01
1080,SARMIENTO,ITUZAINGO,265278,2018-06-01
1081,SARMIENTO,LINIERS,138884,2018-06-01
1082,MITRE,BECCAR,63457,2018-06-01
1083,ROCA,MONTE,149,2018-06-01
1084,MITRE,ACASSUSO,56943,2018-06-01
1085,SARMIENTO,MERLO,888247,2018-06-01
1086,MITRE,3 DE FEBRERO,61051,2018-06-01
1087,ROCA,ABBOT,1,2018-06-01
1088,SARMIENTO,MISERERE,348,2018-06-01
1089,BELGRANO SUR,SAENZ,265275,2018-06-01
1090,BELGRANO SUR,VILLEGAS,5783,2018-06-01
1091,SARMIENTO,MORENO,857064,2018-06-01
1092,ROCA,MAXIMO PAZ,8636,2018-06-01
1093,SARMIENTO,MORON,877044,2018-06-01
1094,BELGRANO SUR,V. SOLDATI,34243,2018-06-01
1095,BELGRANO SUR,V. MADERO,65748,2018-06-01
1096,ROCA,LONGCHAMPS,533856,2018-06-01
1097,SARMIENTO,ONCE,1600747,2018-06-01
1098,ROCA,LEVENE,125,2018-06-01
1099,ROCA,ADROGUE,313865,2018-06-01
1100,BELGRANO SUR,V.LUGANO,89279,2018-06-01
1101,BELGRANO SUR,I. CASANOVA,23933,2018-06-01
1102,BELGRANO SUR,ALDO BONZI,2874,2018-06-01
1103,BELGRANO SUR,FOURNIER,32742,2018-06-01
1104,ROCA,CANUELAS,24475,2018-06-01
1105,ROCA,J. MARMOL,53410,2018-06-01
1106,ROCA,HUDSON,62669,2018-06-01
1107,ROCA,CHASCOMUS,2003,2018-06-01
1108,ROCA,CITY BELL,44840,2018-06-01
1109,ROCA,HAEDO,2834,2018-06-01
1110,ROCA,H. ESPANOL,6,2018-06-01
1111,ROCA,GUTIERREZ,7016,2018-06-01
1112,ROCA,GUERNICA,128677,2018-06-01
1113,ROCA,GONNET,19175,2018-06-01
1114,ROCA,CLAYPOLE,253709,2018-06-01
1115,ROCA,CONSTITUCION,4122453,2018-06-01
1116,ROCA,GLEW,653090,2018-06-01
1117,ROCA,GERLI,147717,2018-06-01
1118,ROCA,DARIO Y MAXI,260629,2018-06-01
1119,ROCA,DON BOSCO,47605,2018-06-01
1120,ROCA,F. VARELA,229954,2018-06-01
1121,ROCA,EZPELETA,165764,2018-06-01
1122,ROCA,EL JAGUEL,193707,2018-06-01
1123,ROCA,JUAN XXIII,16,2018-06-01
1124,BELGRANO SUR,G. CATAN,176603,2018-06-01
1125,ROCA,CALZADA,152734,2018-06-01
1126,ROCA,BURZACO,530106,2018-06-01
1127,BELGRANO SUR,EVA DUARTE,43535,2018-06-01
1128,BELGRANO SUR,CASTILLO,36022,2018-06-01
1129,BELGRANO SUR,CASTELLO,50358,2018-06-01
1130,BELGRANO SUR,BUENOS AIRES,156,2018-06-01
1131,MITRE,BELGRANO C.,284617,2018-06-01
1132,BELGRANO NORTE,RETIRO,244068,2018-06-01
1133,BELGRANO NORTE,R. S. ORTIZ,28533,2018-06-01
1134,ROCA,LANUS,899354,2018-06-01
1135,ROCA,BANFIELD,560286,2018-06-01
1136,ROCA,BERAZATEGUI,259910,2018-06-01
1137,ROCA,LA PLATA,320923,2018-06-01
1138,ROCA,L. GUILLON,140689,2018-06-01
1139,ROCA,BERNAL,105109,2018-06-01
1140,ROCA,L. DE ZAMORA,1106023,2018-06-01
1141,ROCA,KM. 34,5,2018-06-01
1142,ROCA,BOSQUES,70771,2018-06-01
1143,ROCA,KM. 33,6,2018-06-01
1144,ROCA,BRANDSEN,1016,2018-06-01
1145,ROCA,BRIAN,1,2018-06-01
1146,ROCA,KLOOSTERMAN,113,2018-06-01
1147,ROCA,MONTE GRANDE,533368,2018-06-01
1148,SARMIENTO,FLORESTA,137862,2018-06-01
1149,MITRE,BENAVIDEZ,458,2018-06-01
1150,MITRE,RETIRO (SUAREZ-MITRE),628260,2018-06-01
1151,MITRE,ZARATE,830,2018-06-01
1152,ROCA,WILDE,65542,2018-06-01
1153,ROCA,YRIGOYEN,89954,2018-06-01
1154,MITRE,PUEYRREDON,71754,2018-06-01
1155,MITRE,OLIVOS,77960,2018-06-01
1156,ROCA,SAN JUSTO,342,2018-06-01
1157,ROCA,ZEBALLOS,78136,2018-06-01
1158,MITRE,NUNEZ,95892,2018-06-01
1159,MITRE,MITRE,54444,2018-06-01
1160,SAN MARTIN,ASTOLFI,2091,2018-06-01
1161,SAN MARTIN,B. VISTA,96850,2018-06-01
1162,ROCA,RINGUELET,7430,2018-06-01
1163,SAN MARTIN,CABRED,1638,2018-06-01
1164,MITRE,ZELAYA,327,2018-06-01
1165,SAN MARTIN,CASEROS,138758,2018-06-01
1166,MITRE,MIGUELETES,31214,2018-06-01
1167,MITRE,MATHEU,1299,2018-06-01
1168,MITRE,MARTINEZ,163129,2018-06-01
1169,MITRE,MAQ. SAVIO,2262,2018-06-01
1170,SAN MARTIN,DERQUI,131136,2018-06-01
1171,MITRE,RETIRO (TIGRE),745220,2018-06-01
1172,SAN MARTIN,HURLINGHAM,77266,2018-06-01
1173,ROCA,VILLA ESPANA,9257,2018-06-01
1174,MITRE,RIVADAVIA,74093,2018-06-01
1175,MITRE,VICTORIA ELECT,73205,2018-06-01
1176,ROCA,TABLADA,342,2018-06-01
1177,MITRE,VICENTE LOPEZ,86823,2018-06-01
1178,ROCA,TEMPERLEY,284950,2018-06-01
1179,MITRE,V. BALLESTER,150755,2018-06-01
1180,MITRE,URQUIZA,237375,2018-06-01
1181,MITRE,TIGRE,272123,2018-06-01
1182,ROCA,SARANDI,40823,2018-06-01
1183,ROCA,TOLOSA,14699,2018-06-01
1184,ROCA,TRISTAN SUAREZ,18641,2018-06-01
1185,MITRE,VIRREYES,140587,2018-06-01
1186,MITRE,SAN MARTIN,244831,2018-06-01
1187,MITRE,SAN ISIDRO,293337,2018-06-01
1188,ROCA,TURDERA,100210,2018-06-01
1189,ROCA,U. FERROVIARIA,140,2018-06-01
1190,MITRE,SAN FERNANDO,82785,2018-06-01
1191,MITRE,SAN ANDRES,32322,2018-06-01
1192,ROCA,V. CASARES,162,2018-06-01
1193,ROCA,SANTA SOFIA,14090,2018-06-01
1194,MITRE,SAAVEDRA,41101,2018-06-01
1195,ROCA,V. DOMINICO,39161,2018-06-01
1196,ROCA,VILLA ELISA,35458,2018-06-01
1197,MITRE,BELGRANO R.,177144,2018-06-01
1198,ROCA,RANELAGH,8213,2018-06-01
1199,SAN MARTIN,J.C. PAZ,424596,2018-06-01
1200,MITRE,COLEGIALES,91720,2018-06-01
1201,SARMIENTO,CABALLITO,180029,2018-06-01
1202,MITRE,COGHLAN,29976,2018-06-01
1203,ROCA,PEREYRA,1298,2018-06-01
1204,MITRE,CHILAVERT,52429,2018-06-01
1205,SARMIENTO,CASTELAR,248905,2018-06-01
1206,SARMIENTO,CIUDADELA,121101,2018-06-01
1207,MITRE,CENTRANGOLO,11249,2018-06-01
1208,SARMIENTO,ESTACION 25,33,2018-06-01
1209,SARMIENTO,ESTACION 29,61,2018-06-01
1210,SARMIENTO,ESTACION 31,75,2018-06-01
1211,SARMIENTO,ESTACION 32,283,2018-06-01
1212,SARMIENTO,ESTACION 33,1095,2018-06-01
1213,SARMIENTO,ESTACION 36,982,2018-06-01
1214,MITRE,CARUPA,82752,2018-06-01
1215,SARMIENTO,ESTACION 40,400,2018-06-01
1216,SARMIENTO,FLORES,245487,2018-06-01
1217,MITRE,CARRANZA,194209,2018-06-01
1218,ROCA,A.KORN,200489,2018-06-01
1219,ROCA,SOURIGUES,11851,2018-06-01
1220,SARMIENTO,HAEDO,164095,2018-06-01
1221,ROCA,PLATANOS,58704,2018-06-01
1222,MITRE,MALAVER,27922,2018-06-01
1223,SAN MARTIN,W. MORRIS,53741,2018-06-01
1224,SAN MARTIN,V. PARQUE,289016,2018-06-01
1225,SAN MARTIN,MANZANARES,702,2018-06-01
1226,MITRE,LOPEZ CAMELO,1929,2018-06-01
1227,MITRE,LA LUCILA,55684,2018-06-01
1228,SAN MARTIN,MUNIZ,56798,2018-06-01
1229,MITRE,JUAN B. JUSTO,20730,2018-06-01
1230,ROCA,QUILMES,329689,2018-06-01
1231,SAN MARTIN,PALOMAR,85518,2018-06-01
1232,ROCA,ESCALADA,142938,2018-06-01
1233,MITRE,JOSE LEON SUAREZ,257158,2018-06-01
1234,SAN MARTIN,PILAR,120962,2018-06-01
1235,MITRE,GARIN,1491,2018-06-01
1236,SAN MARTIN,S. LUGARES,18389,2018-06-01
1237,SAN MARTIN,SAENZ PENA,102731,2018-06-01
1238,ROCA,A. DE ELIA,35,2018-06-01
1239,SAN MARTIN,SAN MIGUEL,279406,2018-06-01
1240,MITRE,FLORIDA,17703,2018-06-01
1241,MITRE,ESCOBAR,2648,2018-06-01
1242,SAN MARTIN,SOL Y VERDE,56575,2018-06-01
1243,SAN MARTIN,V. DEVOTO,104392,2018-06-01
1244,ROCA,A. PETION,5958,2018-06-01
1245,MITRE,EL TALAR,51,2018-06-01
1246,MITRE,DRAGO,67593,2018-06-01
1247,ROCA,EZEIZA,491603,2018-06-01
1248,ROCA,CONSTITUCION,4287807,2018-07-01
1249,ROCA,ESCALADA,133805,2018-07-01
1250,SAN MARTIN,MUNIZ,57072,2018-07-01
1251,ROCA,A.KORN,209231,2018-07-01
1252,ROCA,ABBOT,3,2018-07-01
1253,SAN MARTIN,MANZANARES,1838,2018-07-01
1254,ROCA,ADROGUE,308619,2018-07-01
1255,ROCA,ARDIGO,125247,2018-07-01
1256,SAN MARTIN,J.C. PAZ,446890,2018-07-01
1257,SAN MARTIN,HURLINGHAM,83846,2018-07-01
1258,ROCA,BANFIELD,552955,2018-07-01
1259,ROCA,BERAZATEGUI,254754,2018-07-01
1260,ROCA,BERNAL,84322,2018-07-01
1261,ROCA,BOSQUES,81860,2018-07-01
1262,SAN MARTIN,DERQUI,157359,2018-07-01
1263,SAN MARTIN,CHACARITA,106,2018-07-01
1264,ROCA,BRANDSEN,1175,2018-07-01
1265,ROCA,BRIAN,3,2018-07-01
1266,ROCA,BURZACO,530531,2018-07-01
1267,ROCA,CALZADA,147575,2018-07-01
1268,SAN MARTIN,CASEROS,146465,2018-07-01
1269,ROCA,CANUELAS,26255,2018-07-01
1270,ROCA,CHASCOMUS,2431,2018-07-01
1271,SAN MARTIN,CABRED,3065,2018-07-01
1272,ROCA,CITY BELL,40664,2018-07-01
1273,ROCA,A. PETION,5680,2018-07-01
1274,ROCA,A. DE ELIA,23,2018-07-01
1275,SAN MARTIN,PALERMO,317,2018-07-01
1276,MITRE,ZELAYA,427,2018-07-01
1277,MITRE,PUEYRREDON,77520,2018-07-01
1278,SAN MARTIN,SOL Y VERDE,62210,2018-07-01
1279,SAN MARTIN,SAN MIGUEL,321495,2018-07-01
1280,MITRE,RETIRO (SUAREZ-MITRE),666062,2018-07-01
1281,MITRE,RETIRO (TIGRE),684146,2018-07-01
1282,SAN MARTIN,SAENZ PENA,107472,2018-07-01
1283,MITRE,RIVADAVIA,86781,2018-07-01
1284,MITRE,SAAVEDRA,38442,2018-07-01
1285,SAN MARTIN,S. LUGARES,20413,2018-07-01
1286,MITRE,SAN ANDRES,32637,2018-07-01
1287,MITRE,SAN FERNANDO,77904,2018-07-01
1288,ROCA,CLAYPOLE,296214,2018-07-01
1289,SAN MARTIN,RETIRO,39,2018-07-01
1290,MITRE,SAN MARTIN,249122,2018-07-01
1291,SAN MARTIN,PILAR,137447,2018-07-01
1292,MITRE,TIGRE,285841,2018-07-01
1293,MITRE,URQUIZA,239516,2018-07-01
1294,MITRE,V. BALLESTER,152409,2018-07-01
1295,MITRE,VICENTE LOPEZ,84671,2018-07-01
1296,SAN MARTIN,PATERNAL,20,2018-07-01
1297,SAN MARTIN,PALOMAR,93335,2018-07-01
1298,MITRE,VICTORIA ELECT,74942,2018-07-01
1299,MITRE,VIRREYES,133667,2018-07-01
1300,MITRE,ZARATE,972,2018-07-01
1301,ROCA,RANELAGH,7878,2018-07-01
1302,MITRE,OLIVOS,77454,2018-07-01
1303,SAN MARTIN,B. VISTA,102417,2018-07-01
1304,ROCA,DARIO Y MAXI,260221,2018-07-01
1305,ROCA,KM. 33,4,2018-07-01
1306,ROCA,KM. 34,1,2018-07-01
1307,ROCA,TEMPERLEY,284980,2018-07-01
1308,ROCA,L. DE ZAMORA,1118481,2018-07-01
1309,ROCA,L. GUILLON,138913,2018-07-01
1310,ROCA,TABLADA,315,2018-07-01
1311,ROCA,LA NORIA,7,2018-07-01
1312,ROCA,LA PLATA,293496,2018-07-01
1313,ROCA,SPEGAZZINI,9993,2018-07-01
1314,ROCA,LANUS,911110,2018-07-01
1315,ROCA,LEVENE,122,2018-07-01
1316,ROCA,SOURIGUES,12955,2018-07-01
1317,ROCA,LLAVALLOL,88874,2018-07-01
1318,ROCA,LONGCHAMPS,521828,2018-07-01
1319,ROCA,SARANDI,39347,2018-07-01
1320,ROCA,MAXIMO PAZ,8078,2018-07-01
1321,ROCA,MONTE,29,2018-07-01
1322,ROCA,SANTA SOFIA,13497,2018-07-01
1323,ROCA,MONTE GRANDE,555298,2018-07-01
1324,ROCA,PEREYRA,1524,2018-07-01
1325,ROCA,PLATANOS,52682,2018-07-01
1326,ROCA,QUILMES,339345,2018-07-01
1327,ROCA,SAN JUSTO,315,2018-07-01
1328,ROCA,TOLOSA,9191,2018-07-01
1329,ROCA,KLOOSTERMAN,80,2018-07-01
1330,ROCA,JUAN XXIII,7,2018-07-01
1331,ROCA,TRISTAN SUAREZ,18650,2018-07-01
1332,ROCA,DON BOSCO,48797,2018-07-01
1333,ROCA,EL JAGUEL,196220,2018-07-01
1334,ROCA,ZEBALLOS,85373,2018-07-01
1335,ROCA,YRIGOYEN,92317,2018-07-01
1336,ROCA,WILDE,67283,2018-07-01
1337,ROCA,EZEIZA,505187,2018-07-01
1338,ROCA,EZPELETA,164490,2018-07-01
1339,ROCA,F. VARELA,240490,2018-07-01
1340,ROCA,VILLA ESPANA,9188,2018-07-01
1341,ROCA,VILLA ELISA,34380,2018-07-01
1342,ROCA,GERLI,154370,2018-07-01
1343,SAN MARTIN,ASTOLFI,17710,2018-07-01
1344,ROCA,GLEW,660760,2018-07-01
1345,ROCA,GUERNICA,132320,2018-07-01
1346,ROCA,V. DOMINICO,35258,2018-07-01
1347,ROCA,V. CASARES,151,2018-07-01
1348,ROCA,GUTIERREZ,7387,2018-07-01
1349,ROCA,H. ESPANOL,7,2018-07-01
1350,ROCA,U. FERROVIARIA,107,2018-07-01
1351,ROCA,HAEDO,2760,2018-07-01
1352,ROCA,HUDSON,61974,2018-07-01
1353,ROCA,TURDERA,94620,2018-07-01
1354,ROCA,J. MARMOL,52939,2018-07-01
1355,ROCA,JEPPENER,1,2018-07-01
1356,ROCA,GONNET,22200,2018-07-01
1357,MITRE,NUNEZ,94433,2018-07-01
1358,MITRE,SAN ISIDRO,285285,2018-07-01
1359,BELGRANO SUR,J. INGENIEROS,3738,2018-07-01
1360,BELGRANO SUR,CASTELLO,52941,2018-07-01
1361,BELGRANO SUR,CASTILLO,36406,2018-07-01
1362,SARMIENTO,ESTACION 31,260,2018-07-01
1363,BELGRANO SUR,EVA DUARTE,43040,2018-07-01
1364,BELGRANO SUR,FOURNIER,33440,2018-07-01
1365,BELGRANO SUR,G. CATAN,186775,2018-07-01
1366,BELGRANO SUR,I. CASANOVA,24472,2018-07-01
1367,BELGRANO SUR,ILLIA,18014,2018-07-01
1368,SARMIENTO,ESTACION 29,261,2018-07-01
1369,BELGRANO SUR,INDEPENDENCIA,125238,2018-07-01
1370,MITRE,MITRE,63373,2018-07-01
1371,SARMIENTO,ESTACION 25,194,2018-07-01
1372,BELGRANO SUR,KM. 12,2482,2018-07-01
1373,BELGRANO SUR,LAFERRERE,209158,2018-07-01
1374,BELGRANO SUR,LIBERTAD,25079,2018-07-01
1375,BELGRANO SUR,M. BELGRANO,42169,2018-07-01
1376,SARMIENTO,CIUDADELA,100468,2018-07-01
1377,BELGRANO SUR,MENDEVILLE,5696,2018-07-01
1378,BELGRANO SUR,MERLO GOMEZ,23386,2018-07-01
1379,BELGRANO SUR,QUERANDI,22361,2018-07-01
1380,BELGRANO SUR,SAENZ,277008,2018-07-01
1381,BELGRANO SUR,BUENOS AIRES,30,2018-07-01
1382,BELGRANO SUR,ALDO BONZI,2876,2018-07-01
1383,BELGRANO NORTE,VILLA ADELINA,56971,2018-07-01
1384,BELGRANO NORTE,RETIRO,288852,2018-07-01
1385,SARMIENTO,VILLA LURO,95384,2018-07-01
1386,SARMIENTO,S.A DE PADUA,273315,2018-07-01
1387,SARMIENTO,RAMOS MEJIA,426177,2018-07-01
1388,SARMIENTO,PASO DEL REY,212704,2018-07-01
1389,SARMIENTO,ONCE,1737531,2018-07-01
1390,SARMIENTO,MORON,862016,2018-07-01
1391,SARMIENTO,MORENO,864326,2018-07-01
1392,SARMIENTO,MISERERE,261,2018-07-01
1393,SARMIENTO,MERLO,900631,2018-07-01
1394,SARMIENTO,LINIERS,136704,2018-07-01
1395,BELGRANO SUR,TAPIALES,32972,2018-07-01
1396,SARMIENTO,ITUZAINGO,255008,2018-07-01
1397,SARMIENTO,FLORESTA,130703,2018-07-01
1398,SARMIENTO,FLORES,261537,2018-07-01
1399,SARMIENTO,ESTACION 40,1666,2018-07-01
1400,SARMIENTO,ESTACION 36,3080,2018-07-01
1401,SARMIENTO,ESTACION 33,4206,2018-07-01
1402,BELGRANO NORTE,BOULOGNE SUR,72577,2018-07-01
1403,BELGRANO NORTE,GRAND BOURG,90131,2018-07-01
1404,BELGRANO NORTE,ING. P. NOGUES,46886,2018-07-01
1405,BELGRANO NORTE,R. S. ORTIZ,22910,2018-07-01
1406,SARMIENTO,ESTACION 32,1237,2018-07-01
1407,SARMIENTO,HAEDO,157898,2018-07-01
1408,BELGRANO SUR,V. MADERO,65152,2018-07-01
1409,ROCA,RINGUELET,7277,2018-07-01
1410,MITRE,MATHEU,1246,2018-07-01
1411,MITRE,CENTRANGOLO,14423,2018-07-01
1412,MITRE,ESCOBAR,3259,2018-07-01
1413,MITRE,LOPEZ CAMELO,1937,2018-07-01
1414,MITRE,CARUPA,68135,2018-07-01
1415,MITRE,CARRANZA,192157,2018-07-01
1416,SARMIENTO,CABALLITO,175965,2018-07-01
1417,MITRE,FLORIDA,18699,2018-07-01
1418,BELGRANO SUR,V. SOLDATI,32223,2018-07-01
1419,MITRE,GARIN,1815,2018-07-01
1420,MITRE,BENAVIDEZ,261,2018-07-01
1421,SAN MARTIN,W. MORRIS,61589,2018-07-01
1422,MITRE,EL TALAR,60,2018-07-01
1423,MITRE,BELGRANO R.,178660,2018-07-01
1424,MITRE,JOSE LEON SUAREZ,260722,2018-07-01
1425,MITRE,JUAN B. JUSTO,21012,2018-07-01
1426,MITRE,BELGRANO C.,260290,2018-07-01
1427,MITRE,MIGUELETES,32233,2018-07-01
1428,MITRE,MALAVER,28802,2018-07-01
1429,MITRE,DRAGO,55892,2018-07-01
1430,SARMIENTO,CASTELAR,251250,2018-07-01
1431,BELGRANO SUR,V.LUGANO,86549,2018-07-01
1432,BELGRANO SUR,VILLEGAS,6020,2018-07-01
1433,MITRE,3 DE FEBRERO,63475,2018-07-01
1434,MITRE,CHILAVERT,51447,2018-07-01
1435,SAN MARTIN,V. DEVOTO,118215,2018-07-01
1436,MITRE,COLEGIALES,90692,2018-07-01
1437,MITRE,MAQ. SAVIO,2348,2018-07-01
1438,MITRE,COGHLAN,27921,2018-07-01
1439,MITRE,BECCAR,60712,2018-07-01
1440,MITRE,LA LUCILA,52351,2018-07-01
1441,SAN MARTIN,V. PARQUE,316081,2018-07-01
1442,MITRE,ACASSUSO,53342,2018-07-01
1443,MITRE,MARTINEZ,152511,2018-07-01
1444,ROCA,POLICLINICO,214,2018-08-01
1445,ROCA,CLAYPOLE,315505,2018-08-01
1446,ROCA,TABLADA,387,2018-08-01
1447,ROCA,LEVENE,112,2018-08-01
1448,ROCA,CONSTITUCION,4635975,2018-08-01
1449,ROCA,TEMPERLEY,318930,2018-08-01
1450,ROCA,TOLOSA,12550,2018-08-01
1451,ROCA,U. FERROVIARIA,152,2018-08-01
1452,ROCA,TRISTAN SUAREZ,20955,2018-08-01
1453,ROCA,BRANDSEN,1098,2018-08-01
1454,ROCA,LONGCHAMPS,533911,2018-08-01
1455,ROCA,VILLA ESPANA,10387,2018-08-01
1456,ROCA,BRIAN,1,2018-08-01
1457,ROCA,BURZACO,574624,2018-08-01
1458,ROCA,VILLA ELISA,39913,2018-08-01
1459,ROCA,V. DOMINICO,41354,2018-08-01
1460,ROCA,V. CASARES,149,2018-08-01
1461,ROCA,CALZADA,171302,2018-08-01
1462,ROCA,MONTE,69,2018-08-01
1463,ROCA,MONTE GRANDE,611677,2018-08-01
1464,ROCA,CANUELAS,29117,2018-08-01
1465,ROCA,LLAVALLOL,101749,2018-08-01
1466,ROCA,TURDERA,108837,2018-08-01
1467,ROCA,CHASCOMUS,2385,2018-08-01
1468,ROCA,CITY BELL,47461,2018-08-01
1469,ROCA,STA. CATALINA,1,2018-08-01
1470,ROCA,LA PLATA,354286,2018-08-01
1471,ROCA,DARIO Y MAXI,303821,2018-08-01
1472,ROCA,KM. 33,10,2018-08-01
1473,ROCA,GONNET,20757,2018-08-01
1474,ROCA,RANELAGH,9291,2018-08-01
1475,ROCA,GUERNICA,151224,2018-08-01
1476,ROCA,PEREYRA,1141,2018-08-01
1477,ROCA,KLOOSTERMAN,144,2018-08-01
1478,ROCA,RINGUELET,9275,2018-08-01
1479,ROCA,PLATANOS,54527,2018-08-01
1480,ROCA,JUAN XXIII,5,2018-08-01
1481,ROCA,H. ESPANOL,24,2018-08-01
1482,ROCA,HAEDO,3141,2018-08-01
1483,ROCA,QUILMES,376315,2018-08-01
1484,ROCA,HUDSON,69731,2018-08-01
1485,ROCA,J. MARMOL,58510,2018-08-01
1486,ROCA,GUTIERREZ,8371,2018-08-01
1487,ROCA,SPEGAZZINI,12360,2018-08-01
1488,ROCA,GLEW,705453,2018-08-01
1489,ROCA,KM. 34,7,2018-08-01
1490,ROCA,LANUS,999585,2018-08-01
1491,ROCA,SOURIGUES,16077,2018-08-01
1492,ROCA,DON BOSCO,57633,2018-08-01
1493,ROCA,SARANDI,46377,2018-08-01
1494,ROCA,EL JAGUEL,217412,2018-08-01
1495,ROCA,SANTA SOFIA,15992,2018-08-01
1496,ROCA,GERLI,164623,2018-08-01
1497,ROCA,LA NORIA,4,2018-08-01
1498,ROCA,EZEIZA,541570,2018-08-01
1499,ROCA,L. GUILLON,157494,2018-08-01
1500,ROCA,SAN JUSTO,407,2018-08-01
1501,ROCA,EZPELETA,196005,2018-08-01
1502,ROCA,F. VARELA,280201,2018-08-01
1503,ROCA,L. DE ZAMORA,1205164,2018-08-01
1504,ROCA,ESCALADA,158135,2018-08-01
1505,ROCA,MAXIMO PAZ,1058,2018-08-01
1506,SARMIENTO,CABALLITO,197099,2018-08-01
1507,ROCA,BERNAL,92099,2018-08-01
1508,SAN MARTIN,PALOMAR,105641,2018-08-01
1509,SAN MARTIN,PALERMO,376,2018-08-01
1510,SAN MARTIN,MUNIZ,67801,2018-08-01
1511,SAN MARTIN,MANZANARES,2242,2018-08-01
1512,SAN MARTIN,J.C. PAZ,486185,2018-08-01
1513,SAN MARTIN,HURLINGHAM,90268,2018-08-01
1514,SAN MARTIN,DERQUI,189349,2018-08-01
1515,SAN MARTIN,CHACARITA,137,2018-08-01
1516,SAN MARTIN,CASEROS,163505,2018-08-01
1517,SAN MARTIN,CABRED,3346,2018-08-01
1518,SAN MARTIN,B. VISTA,114466,2018-08-01
1519,SAN MARTIN,ASTOLFI,17955,2018-08-01
1520,ROCA,ZEBALLOS,99393,2018-08-01
1521,SAN MARTIN,PATERNAL,20,2018-08-01
1522,BELGRANO SUR,ALDO BONZI,4201,2018-08-01
1523,BELGRANO SUR,CASTELLO,60404,2018-08-01
1524,BELGRANO SUR,CASTILLO,41281,2018-08-01
1525,BELGRANO SUR,EVA DUARTE,48974,2018-08-01
1526,BELGRANO SUR,FOURNIER,39560,2018-08-01
1527,BELGRANO SUR,G. CATAN,195491,2018-08-01
1528,BELGRANO SUR,I. CASANOVA,27918,2018-08-01
1529,BELGRANO SUR,ILLIA,20414,2018-08-01
1530,BELGRANO SUR,INDEPENDENCIA,137432,2018-08-01
1531,BELGRANO SUR,J. INGENIEROS,4318,2018-08-01
1532,BELGRANO SUR,KM. 12,2763,2018-08-01
1533,BELGRANO SUR,LAFERRERE,229610,2018-08-01
1534,BELGRANO SUR,LIBERTAD,31300,2018-08-01
1535,BELGRANO SUR,M. BELGRANO,46526,2018-08-01
1536,BELGRANO SUR,BUENOS AIRES,33,2018-08-01
1537,BELGRANO SUR,MENDEVILLE,5771,2018-08-01
1538,SARMIENTO,VILLA LURO,117156,2018-08-01
1539,SARMIENTO,RAMOS MEJIA,515496,2018-08-01
1540,SAN MARTIN,V. PARQUE,340206,2018-08-01
1541,SARMIENTO,CASTELAR,275135,2018-08-01
1542,SARMIENTO,CIUDADELA,84414,2018-08-01
1543,SAN MARTIN,V. DEVOTO,125793,2018-08-01
1544,SARMIENTO,ESTACION 25,182,2018-08-01
1545,SARMIENTO,ESTACION 29,466,2018-08-01
1546,SARMIENTO,ESTACION 31,294,2018-08-01
1547,SARMIENTO,ESTACION 32,1953,2018-08-01
1548,SAN MARTIN,SOL Y VERDE,103538,2018-08-01
1549,SARMIENTO,ESTACION 33,6053,2018-08-01
1550,SARMIENTO,ESTACION 36,5885,2018-08-01
1551,SAN MARTIN,SAN MIGUEL,353666,2018-08-01
1552,SARMIENTO,ESTACION 40,2388,2018-08-01
1553,SARMIENTO,S.A DE PADUA,304138,2018-08-01
1554,SARMIENTO,FLORES,274711,2018-08-01
1555,SARMIENTO,HAEDO,187696,2018-08-01
1556,SAN MARTIN,SAENZ PENA,121349,2018-08-01
1557,SARMIENTO,ITUZAINGO,281853,2018-08-01
1558,SARMIENTO,LINIERS,221340,2018-08-01
1559,SAN MARTIN,S. LUGARES,22824,2018-08-01
1560,SARMIENTO,MERLO,970175,2018-08-01
1561,SARMIENTO,MISERERE,369,2018-08-01
1562,SARMIENTO,MORENO,925785,2018-08-01
1563,SARMIENTO,MORON,968464,2018-08-01
1564,SAN MARTIN,RETIRO,16,2018-08-01
1565,SARMIENTO,ONCE,1855074,2018-08-01
1566,SARMIENTO,PASO DEL REY,231627,2018-08-01
