INDEX,LINEA,ESTACION,TOTAL,FECHA
483,ROCA,PEREYRA,316,2018-02-01
484,SAN MARTIN,DERQUI,148399,2018-02-01
485,ROCA,PLATANOS,14440,2018-02-01
486,SAN MARTIN,MUNIZ,52008,2018-02-01
487,SAN MARTIN,RETIRO,69,2018-02-01
488,SAN MARTIN,SAN MIGUEL,303439,2018-02-01
489,SAN MARTIN,J.C. PAZ,427654,2018-02-01
490,ROCA,SAN JUSTO,269,2018-02-01
491,ROCA,QUILMES,201035,2018-02-01
492,SARMIENTO,CABALLITO,120882,2018-02-01
493,SAN MARTIN,SAENZ PENA,82661,2018-02-01
494,SAN MARTIN,PALOMAR,82048,2018-02-01
495,SAN MARTIN,V. DEVOTO,96727,2018-02-01
496,MITRE,RETIRO (SUAREZ-MITRE),672626,2018-03-01
497,SARMIENTO,LINIERS,103219,2018-03-01
498,MITRE,COLEGIALES,93234,2018-03-01
499,SARMIENTO,MERLO,805535,2018-03-01
500,MITRE,COGHLAN,35210,2018-03-01
501,SARMIENTO,ITUZAINGO,288739,2018-03-01
502,ROCA,TURDERA,103271,2018-03-01
503,MITRE,RIVADAVIA,116200,2018-03-01
504,ROCA,TRISTAN SUAREZ,20012,2018-03-01
505,SARMIENTO,HAEDO,160501,2018-03-01
506,MITRE,SAAVEDRA,46289,2018-03-01
507,MITRE,SAN ANDRES,29541,2018-03-01
508,ROCA,TOLOSA,4920,2018-03-01
509,MITRE,SAN FERNANDO,89432,2018-03-01
510,SARMIENTO,FLORESTA,139919,2018-03-01
511,MITRE,CHILAVERT,45403,2018-03-01
512,MITRE,CENTRANGOLO,16835,2018-03-01
513,MITRE,SAN ISIDRO,360772,2018-03-01
514,MITRE,SAN MARTIN,242627,2018-03-01
515,MITRE,RETIRO (TIGRE),715625,2018-03-01
516,MITRE,PUEYRREDON,70578,2018-03-01
517,ROCA,WILDE,47908,2018-03-01
518,SAN MARTIN,B. VISTA,126730,2018-03-01
519,MITRE,JOSE LEON SUAREZ,212784,2018-03-01
520,SARMIENTO,S.A DE PADUA,256999,2018-03-01
521,MITRE,JUAN B. JUSTO,18667,2018-03-01
522,MITRE,LA LUCILA,57976,2018-03-01
523,SARMIENTO,VILLA LURO,90592,2018-03-01
524,SARMIENTO,RAMOS MEJIA,380754,2018-03-01
525,MITRE,GARIN,627,2018-03-01
526,ROCA,ZEBALLOS,88704,2018-03-01
527,ROCA,VILLA ELISA,39911,2018-03-01
528,MITRE,LOS CARDALES,151,2018-03-01
